25,47,50,678,634,427,256,144,53
0,61,61,6694,6065,2118,5330,884,1262
0,57,60,290160,48988,10232,8974,2180,2017
0,61,43,553695,126831,5829,16766,6236,6720
51,61,43,579144,62876,8399,4890,8677,10504
25,61,43,433231,41604,36414,38208,2119,5283
0,64,26,2631842,97382,22082,18026,10678,8344
0,67,13,972459,14398,3623,4046,2879,2147
0,94,21,865221,42036,58487,2892,31059,19080
0,93,34,195258,52068,4641,15437,4547,3566
0,100,43,1327222,349420,163612,92625,70345,71583
51,100,43,556393,36641,4775,3492,5023,6926
25,100,43,160859,184194,6728,4712,5097,7019
0,87,26,267189,26026,1758,2074,1805,1865
0,75,3,1342902,240201,18851,27053,36163,25637
26,75,3,797695,12162,3165,1681,3454,1716
0,74,1,473313,122858,23413,3773,3030,6942
0,67,1,2095201,198929,44579,32589,30731,24510
26,67,1,2086558,18894,21639,9206,10829,4208
25,67,1,1345102,29767,30399,26301,17872,7930
0,56,20,896351,146975,64060,81404,15529,8815
0,44,43,270937,115663,37871,54622,21504,7856
0,50,37,2657444,277292,18428,12698,20814,16673
0,44,44,1549010,364122,119315,83423,52454,32133
0,53,26,1786481,485057,113918,12484,28740,31366
0,43,8,215863,48148,3717,5500,3485,1342
0,24,11,952157,463268,14415,51066,13730,9548
0,17,11,3570477,390407,193515,16666,56068,23431
25,17,11,492184,103972,19949,44731,71326,34557
51,17,11,1516891,107710,11176,5036,7339,12834
0,13,26,269569,16855,9675,4808,4517,1238
25,13,26,1124253,347059,77043,80457,144553,40526
0,34,26,495405,23106,3045,2963,3225,2490
0,48,43,843312,260560,60372,59737,17328,16664
0,64,51,1121417,90181,55715,27128,12208,19697
0,70,38,587828,192433,40782,18884,11523,13873
0,64,48,579866,180101,36225,41455,7953,14076
0,64,53,1180714,15834,4911,6774,2520,1296
26,64,53,748042,44348,18177,9655,6672,3665
26,64,53,658317,17504,871,4659,7903,6132
0,60,27,1415738,98432,11158,3498,3445,8562
0,64,50,1090257,230531,239335,154270,84206,49999
0,57,47,629631,12089,3023,1366,1542,588
0,51,24,1152486,137010,4748,16611,9228,4313
0,51,24,1152486,137010,4748,16611,9228,4313
0,48,30,751378,15007,10754,5749,2467,4609
0,60,40,894804,43856,6315,26008,8335,5905
0,74,53,1564993,24603,3611,7298,4329,2482
0,80,47,744821,58812,4762,8779,5723,3972
26,80,47,179817,32914,869,2486,1817,1607
0,64,26,254776,27975,4470,2329,2091,1987
0,70,26,811003,57230,25348,16870,6890,10936
0,64,27,849775,110657,24071,30010,17164,7675
0,83,34,218665,23497,606,9293,7618,8675
51,83,34,614603,39006,5470,30012,8585,21698
25,83,34,328190,117141,25765,29733,18973,6385
26,83,34,1169555,19537,10344,9734,5912,1534
0,94,43,38794,7886,1961,2288,1509,1674
0,100,27,205927,39988,3865,6657,6612,8804
0,100,26,172128,22339,3257,6314,3064,2422
25,100,26,624378,499530,149819,49039,15011,22214
0,96,17,1576165,177158,13679,22660,28119,25360